TP.0254-BAU:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0255-BAU:Planung/Grunderwerb:0,0:MON:30.12.2004:30.12.2004
TP.0255-BAU:Genehmigung:0,0:MON:30.12.2004:30.12.2004
TP.0255-BAU:Ausführung:24,0:MON:30.12.2004:29.12.2006
TP.0256-BAU:Planung/Grunderwerb:8,0:MON:02.01.2003:01.09.2003
TP.0256-BAU:Genehmigung:10,0:MON:02.09.2003:01.07.2004
TP.0256-BAU:Ausführung:18,0:MON:02.07.2004:30.12.2005
TP.0257-GEW:Planung/Grunderwerb:24,0:MON:21.12.2004:20.12.2006
TP.0257-GEW:Genehmigung:6,0:MON:21.12.2006:20.06.2007
TP.0257-GEW:Ausführung:6,0:MON:21.06.2007:20.12.2007
TP.0257-EIN:Einnahmen:24,0:MON:29.12.2005:28.12.2007
TP.0258-TSP:Planung/Grunderwerb:72,0:MON:03.01.2005:30.12.2010
TP.0258-TSP:Genehmigung:0,0:MON:30.12.2010:30.12.2010
TP.0258-TSP:Ausführung:0,0:MON:30.12.2010:30.12.2010
TP.0259-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0259-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0259-TSP:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0260-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0260-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0260-TSP:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0262-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0262-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0262-TSP:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0263-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0263-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0263-TSP:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0264-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0264-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0264-TSP:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0265-TSP:Planung/Grunderwerb:12,0:MON:29.12.2004:28.12.2005
TP.0265-TSP:Genehmigung:0,0:MON:28.12.2005:28.12.2005
TP.0265-TSP:Ausführung:24,0:MON:29.12.2005:28.12.2007
TP.0266-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0266-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0266-TSP:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0267-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0267-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0267-TSP:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0268-GEW:Planung/Grunderwerb:0,0:MON:02.01.2006:02.01.2006
TP.0268-GEW:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0268-GEW:Ausführung:12,0:MON:02.01.2006:29.12.2006
TP.0268-EIN:Einnahmen:12,0:MON:02.01.2006:29.12.2006
TP.0269-GEW:Planung/Grunderwerb:36,0:MON:29.12.2004:28.12.2007
TP.0269-GEW:Genehmigung:0,0:MON:28.12.2007:28.12.2007
TP.0269-GEW:Ausführung:0,0:MON:28.12.2007:28.12.2007
TP.0269-EIN:Einnahmen:36,0:MON:29.12.2004:28.12.2007
TP.0279-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0279-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0279-TSP:Ausführung:36,0:MON:02.01.2007:30.12.2009
TP.0280-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0280-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0280-TSP:Ausführung:12,0:MON:02.01.2007:28.12.2007
TP.0281-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0281-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0281-TSP:Ausführung:24,0:MON:02.01.2007:30.12.2008
TP.0282-TSP:Planung/Grunderwerb:0,0:MON:02.01.2006:02.01.2006
TP.0282-TSP:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0282-TSP:Ausführung:36,0:MON:02.01.2006:30.12.2008
TP.0282-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0282-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0282-TSP:Ausführung:36,0:MON:02.01.2007:30.12.2009
TP.0283-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0283-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
